groupe,modèle,mode,temps,formes,personne
Autres,être,subjonctif,imparfait,tu fusses,tu
Autres,être,subjonctif,imparfait,il fût,il
Autres,être,subjonctif,imparfait,nous fussions,nous
Autres,être,subjonctif,imparfait,vous fussiez,vous
Autres,être,subjonctif,imparfait,ils fussent,ils
Autres,être,subjonctif,passé,j'aie été,je
Autres,être,subjonctif,passé,tu aies été,tu
Autres,être,subjonctif,passé,il ait été,il
Autres,être,subjonctif,passé,nous ayons été,nous
Autres,être,subjonctif,passé,vous ayez été,vous
Autres,être,subjonctif,passé,ils aient été,ils
Autres,être,subjonctif,plus-que-parfait,j'eusse été,je
Autres,être,subjonctif,plus-que-parfait,tu eusses été,tu
Autres,être,subjonctif,plus-que-parfait,il eût été,il
Autres,être,subjonctif,plus-que-parfait,nous eussions été,nous
Autres,être,subjonctif,plus-que-parfait,vous eussiez été,vous
Autres,être,subjonctif,plus-que-parfait,ils eussent été,ils
Autres,avoir,indicatif,passé composé,j'ai eu,je
Autres,avoir,indicatif,passé composé,tu as eu,tu
Autres,avoir,indicatif,passé composé,il a eu,il
Autres,avoir,indicatif,passé composé,nous avons eu,nous
Autres,avoir,indicatif,passé composé,vous avez eu,vous
Autres,avoir,indicatif,passé composé,ils ont eu,ils
Autres,avoir,indicatif,imparfait,j'avais,je
Autres,avoir,indicatif,imparfait,tu avais,tu
Autres,avoir,indicatif,imparfait,il avait,il
Autres,avoir,indicatif,imparfait,nous avions,nous
Autres,avoir,indicatif,imparfait,vous aviez,vous
Autres,avoir,indicatif,imparfait,ils avaient,ils
Autres,avoir,indicatif,futur simple,j'aurai,je
Autres,avoir,indicatif,futur simple,tu auras,tu
Autres,avoir,indicatif,futur simple,il aura,il
Autres,avoir,indicatif,futur simple,nous aurons,nous
Autres,avoir,indicatif,futur simple,vous aurez,vous
Autres,avoir,indicatif,futur simple,ils auront,ils
Autres,avoir,conditionnel,présent,j'aurais,je
Autres,avoir,conditionnel,présent,tu aurais,tu
Autres,avoir,conditionnel,présent,il aurait,il
Autres,avoir,conditionnel,présent,nous aurions,nous
Autres,avoir,conditionnel,présent,vous auriez,vous
Autres,avoir,conditionnel,présent,ils auraient,ils
Autres,avoir,conditionnel,passé,j'aurais eu,je
Autres,avoir,conditionnel,passé,tu aurais eu,tu
Autres,avoir,conditionnel,passé,il aurait eu,il
Autres,avoir,conditionnel,passé,nous aurions eu,nous
Autres,avoir,conditionnel,passé,vous auriez eu,vous
Autres,avoir,conditionnel,passé,ils auraient eu,ils
Autres,avoir,subjonctif,présent,j'aie,je
Autres,avoir,subjonctif,présent,tu aies,tu
Autres,avoir,subjonctif,présent,il ait,il
Autres,avoir,subjonctif,présent,nous ayons,nous
Autres,avoir,subjonctif,présent,vous ayez,vous
Autres,avoir,subjonctif,présent,ils aient,ils
Autres,avoir,subjonctif,imparfait,j'eusse,je
Autres,avoir,subjonctif,imparfait,tu eusses,tu
Autres,avoir,subjonctif,imparfait,il eût,il
Autres,avoir,subjonctif,imparfait,nous eussions,nous
Autres,avoir,subjonctif,imparfait,vous eussiez,vous
Autres,avoir,subjonctif,imparfait,ils eussent,ils
Autres,avoir,subjonctif,passé,j'aie eu,je
Autres,avoir,subjonctif,passé,tu aies eu,tu
Autres,avoir,subjonctif,passé,il ait eu,il
Autres,avoir,subjonctif,passé,nous ayons eu,nous
Autres,avoir,subjonctif,passé,vous ayez eu,vous
Autres,avoir,subjonctif,passé,ils aient eu,ils
Autres,avoir,subjonctif,plus-que-parfait,j'eusse eu,je
Autres,avoir,subjonctif,plus-que-parfait,tu eusses eu,tu
Autres,avoir,subjonctif,plus-que-parfait,il eût eu,il
Autres,avoir,subjonctif,plus-que-parfait,nous eussions eu,nous
Autres,avoir,subjonctif,plus-que-parfait,vous eussiez eu,vous
Autres,avoir,subjonctif,plus-que-parfait,ils eussent eu,ils
-er,aimer,indicatif,présent,j'aime,je
-er,aimer,indicatif,présent,tu aimes,tu
-er,aimer,indicatif,présent,il aime,il
-er,aimer,indicatif,présent,nous aimons,nous
-er,aimer,indicatif,présent,vous aimez,vous
-er,aimer,indicatif,présent,ils aiment,ils
-er,aimer,indicatif,imparfait,j'aimais,je
-er,aimer,indicatif,imparfait,tu aimais,tu
-er,aimer,indicatif,imparfait,il aimait,il
-er,aimer,indicatif,imparfait,nous aimions,nous
-er,aimer,indicatif,imparfait,vous aimiez,vous
-er,aimer,indicatif,imparfait,ils aimaient,ils
-er,aimer,indicatif,passé composé,j'ai aimé,je
-er,aimer,indicatif,passé composé,tu as aimé,tu
-er,aimer,indicatif,passé composé,il a aimé,il
-er,aimer,indicatif,passé composé,nous avons aimé,nous
-er,aimer,indicatif,passé composé,vous avez aimé,vous
-er,aimer,indicatif,passé composé,ils ont aimé,ils
